,xyz_string,aimnet2_b97c,aimnet2_wb97m_d3,ani1x,ani2x,ani1ccx,ani1xnr,dft_wb97m_d3bj,dft_anix
10,"26
0 1 0.073807 
C        0.9819340        0.9200400       -1.2350670
C        2.2881740        0.3505450       -1.0677560
C        0.2874710        1.4826300       -0.2237410
H        0.4513950        0.7447560       -2.1660630
C        2.9963810        0.3597140        0.0848600
H        2.6557880       -0.2510260       -1.8953250
C        0.4089700       -0.7554350        1.2961100
C        1.6907960       -1.1700820        1.3010480
H        2.7633470        1.0398580        0.8972300
H        3.9502230       -0.1522520        0.1572200
H        2.3538920       -0.9572370        2.1325090
H        2.0023370       -1.9266740        0.5908670
H        0.7335870        1.7408090        0.7343320
H       -0.0151160       -0.1341010        2.0777590
O       -1.0009140        1.8401640       -0.3878350
C       -1.6736320        2.2439740        0.7898790
H       -2.6430270        2.6313390        0.4756020
H       -1.8225390        1.3896710        1.4578110
H       -1.1188410        3.0370180        1.3059280
C       -0.4850280       -1.2472870        0.2398200
O       -0.1493430       -1.9241610       -0.7071440
O       -1.7621930       -0.8545430        0.4477120
C       -2.6651560       -1.2095210       -0.5933290
H       -3.6443750       -0.8529060       -0.2751720
H       -2.3677840       -0.7263870       -1.5275460
H       -2.6782870       -2.2916850       -0.7393080
",-15693.05679315578,-15710.450620222324,-15695.14109999306,-15695.176865425301,-15683.317365096718,-2915.800134601392,-15710.512178140294,-15695.454140534355
11,"26
0 1 0.076936 
C        0.9872410        0.9175250       -1.2340720
C        2.2809450        0.3468670       -1.0655720
C        0.2883090        1.4664180       -0.2101290
H        0.4556210        0.7531190       -2.1663790
C        2.9613490        0.3233260        0.1144030
H        2.6587550       -0.2477860       -1.8932890
C        0.4157300       -0.7259850        1.2738200
C        1.7124010       -1.1308830        1.2673240
H        2.7531680        1.0400030        0.9018280
H        3.9216560       -0.1771210        0.1846320
H        2.3552510       -0.9530960        2.1230240
H        2.0028080       -1.9222230        0.5863620
H        0.7399260        1.7458650        0.7387930
H       -0.0094930       -0.1261000        2.0711420
O       -0.9955040        1.8306070       -0.3822900
C       -1.6736180        2.2416560        0.7902590
H       -2.6401060        2.6303000        0.4689810
H       -1.8272140        1.3896370        1.4597350
H       -1.1185380        3.0351030        1.3053440
C       -0.4823540       -1.2401360        0.2378760
O       -0.1485500       -1.9235070       -0.7067460
O       -1.7635670       -0.8547090        0.4486550
C       -2.6648990       -1.2118680       -0.5923680
H       -3.6450590       -0.8563240       -0.2754310
H       -2.3682190       -0.7291900       -1.5272100
H       -2.6773590       -2.2940520       -0.7385300
",-15693.003207938667,-15710.32275990434,-15694.757887875194,-15694.89377098685,-15683.175580873702,-2915.702806126122,-15710.393351963503,-15695.333860697736
12,"26
0 1 0.079168 
C        0.9934420        0.9140210       -1.2339420
C        2.2729660        0.3450030       -1.0654140
C        0.2881090        1.4480510       -0.1942420
H        0.4609140        0.7632160       -2.1680410
C        2.9267360        0.2869600        0.1446560
H        2.6637530       -0.2386300       -1.8946990
C        0.4204130       -0.6966510        1.2518020
C        1.7371170       -1.0922280        1.2345480
H        2.7518330        1.0454490        0.9012550
H        3.8981080       -0.1941530        0.2047820
H        2.3510300       -0.9572290        2.1196570
H        2.0017320       -1.9209800        0.5874770
H        0.7481580        1.7591950        0.7402660
H       -0.0069880       -0.1278200        2.0701650
O       -0.9899620        1.8225940       -0.3776650
C       -1.6736860        2.2399640        0.7901980
H       -2.6376660        2.6293200        0.4626670
H       -1.8305430        1.3895680        1.4606220
H       -1.1183170        3.0337630        1.3044230
C       -0.4802430       -1.2346290        0.2370650
O       -0.1478280       -1.9231860       -0.7061910
O       -1.7654070       -0.8550690        0.4495460
C       -2.6647640       -1.2135100       -0.5918520
H       -3.6458340       -0.8587810       -0.2762690
H       -2.3684710       -0.7311070       -1.5271460
H       -2.6770370       -2.2956670       -0.7386630
",-15692.988067547867,-15710.214377965556,-15694.448934959788,-15694.601726614203,-15683.056127314056,-2915.6945943198584,-15710.285942334183,-15695.241477668851
13,"26
0 1 0.079083 
C        1.0004830        0.9096680       -1.2353390
C        2.2641770        0.3444360       -1.0676010
C        0.2867880        1.4292190       -0.1767890
H        0.4674090        0.7759810       -2.1718190
C        2.8933140        0.2505830        0.1764360
H        2.6710470       -0.2238780       -1.8995230
C        0.4222180       -0.6684500        1.2312400
C        1.7658420       -1.0546080        1.2029190
H        2.7593530        1.0551960        0.8949130
H        3.8795700       -0.2038220        0.2182150
H        2.3411390       -0.9687770        2.1210790
H        1.9982870       -1.9230130        0.5944670
H        0.7577380        1.7802260        0.7377790
H       -0.0073560       -0.1386390        2.0741070
O       -0.9848320        1.8161720       -0.3740650
C       -1.6738560        2.2388520        0.7899530
H       -2.6358300        2.6285180        0.4573640
H       -1.8323830        1.3892970        1.4606860
H       -1.1179160        3.0327690        1.3033670
C       -0.4787890       -1.2307540        0.2371750
O       -0.1472290       -1.9230320       -0.7056830
O       -1.7674980       -0.8554610        0.4502560
C       -2.6647560       -1.2146030       -0.5916160
H       -3.6466620       -0.8605090       -0.2773440
H       -2.3687750       -0.7324340       -1.5273250
H       -2.6770970       -2.2967270       -0.7392470
",-15693.031392121688,-15710.181027205663,-15694.764564529447,-15694.793760101058,-15683.054109233877,-2915.799471234068,-15710.234331082502,-15695.236274077288
14,"26
0 1 0.075105 
C        1.0075760        0.9049100       -1.2378000
C        2.2554690        0.3439180       -1.0710080
C        0.2848280        1.4100600       -0.1581000
H        0.4750510        0.7929250       -2.1775610
C        2.8612990        0.2145330        0.2089120
H        2.6814120       -0.2044510       -1.9064660
C        0.4221500       -0.6401920        1.2115520
C        1.7969130       -1.0179030        1.1724860
H        2.7707100        1.0636500        0.8852820
H        3.8629170       -0.2107420        0.2283370
H        2.3277680       -0.9821120        2.1224840
H        1.9932940       -1.9235300        0.6031790
H        0.7678580        1.8051480        0.7320420
H       -0.0088900       -0.1543570        2.0798550
O       -0.9801900        1.8104940       -0.3708920
C       -1.6740860        2.2380280        0.7896350
H       -2.6343630        2.6278980        0.4527990
H       -1.8335930        1.3890820        1.4606370
H       -1.1173720        3.0318860        1.3023360
C       -0.4780130       -1.2278430        0.2373400
O       -0.1468320       -1.9229470       -0.7051600
O       -1.7695530       -0.8559530        0.4508460
C       -2.6648900       -1.2154460       -0.5915350
H       -3.6474990       -0.8618530       -0.2784380
H       -2.3690470       -0.7333990       -1.5275180
H       -2.6773180       -2.2975330       -0.7399550
",-15693.134614095463,-15710.269837278294,-15695.195131383254,-15695.308641864229,-15683.176171254401,-2915.9557842557338,-15710.302143032126,-15695.365905386447
15,"26
0 1 0.067726 
C        1.0140050        0.9001750       -1.2403080
C        2.2478130        0.3422150       -1.0738900
C        0.2829600        1.3881880       -0.1371670
H        0.4841770        0.8161700       -2.1846250
C        2.8310520        0.1798220        0.2397970
H        2.6960780       -0.1806750       -1.9137360
C        0.4221190       -0.6081810        1.1902230
C        1.8267010       -0.9820560        1.1436240
H        2.7803370        1.0656980        0.8763500
H        3.8450120       -0.2203590        0.2387350
H        2.3138320       -0.9910740        2.1198030
H        1.9883200       -1.9178270        0.6087550
H        0.7786340        1.8319010        0.7235250
H       -0.0095150       -0.1713430        2.0843840
O       -0.9756950        1.8043340       -0.3672970
C       -1.6742950        2.2371780        0.7891260
H       -2.6328930        2.6274160        0.4481200
H       -1.8354460        1.3895960        1.4613490
H       -1.1168960        3.0310560        1.3012880
C       -0.4779910       -1.2251620        0.2366500
O       -0.1467350       -1.9229480       -0.7043360
O       -1.7713940       -0.8567870        0.4514580
C       -2.6652560       -1.2163450       -0.5915480
H       -3.6483690       -0.8631040       -0.2794560
H       -2.3690950       -0.7341210       -1.5274300
H       -2.6776730       -2.2983710       -0.7406450
",-15693.269920738934,-15710.456114600525,-15695.43426019942,-15695.5707066259,-15683.413069214103,-2916.0701753819803,-15710.488905374561,-15695.609128051348
16,"26
0 1 0.058954 
C        1.0197210        0.8955340       -1.2418930
C        2.2418120        0.3389330       -1.0757460
C        0.2819000        1.3605900       -0.1121170
H        0.4951200        0.8474770       -2.1917340
C        2.8049690        0.1489880        0.2660820
H        2.7158300       -0.1523340       -1.9203250
C        0.4225090       -0.5682910        1.1646500
C        1.8511350       -0.9487560        1.1178160
H        2.7867470        1.0613810        0.8701520
H        3.8268580       -0.2340620        0.2496980
H        2.2996900       -0.9932550        2.1132950
H        1.9822890       -1.9060470        0.6094340
H        0.7906890        1.8597910        0.7117050
H       -0.0085990       -0.1861090        2.0847200
O       -0.9710020        1.7964270       -0.3624060
C       -1.6743920        2.2360590        0.7883760
H       -2.6309900        2.6271990        0.4425900
H       -1.8392710        1.3916250        1.4637400
H       -1.1165460        3.0302120        1.3001870
C       -0.4790190       -1.2221180        0.2343620
O       -0.1470840       -1.9232020       -0.7029420
O       -1.7729070       -0.8582800        0.4521160
C       -2.6660350       -1.2174920       -0.5916450
H       -3.6493510       -0.8643680       -0.2802710
H       -2.3688640       -0.7345620       -1.5268260
H       -2.6783500       -2.2994100       -0.7413230
",-15693.413264081748,-15710.678963742806,-15695.480704832695,-15695.650093366845,-15683.64113538671,-2916.0993521907662,-15710.725989039554,-15695.895911765085
17,"26
0 1 0.050216 
C        1.0249140        0.8908740       -1.2412310
C        2.2385430        0.3348170       -1.0772920
C        0.2826400        1.3251740       -0.0816650
H        0.5069200        0.8855550       -2.1959490
C        2.7882680        0.1267530        0.2833600
H        2.7392690       -0.1209060       -1.9261910
C        0.4222180       -0.5179720        1.1331370
C        1.8647420       -0.9217030        1.0982710
H        2.7922240        1.0549250        0.8660410
H        3.8131810       -0.2497700        0.2587580
H        2.2828230       -0.9893910        2.1066280
H        1.9709630       -1.8918060        0.6063540
H        0.8038360        1.8851030        0.6975820
H       -0.0074410       -0.1911970        2.0764320
O       -0.9658400        1.7853300       -0.3552880
C       -1.6742720        2.2344650        0.7874650
H       -2.6280680        2.6275150        0.4354610
H       -1.8466830        1.3960910        1.4687920
H       -1.1162160        3.0292820        1.2989480
C       -0.4815090       -1.2179410        0.2298170
O       -0.1480400       -1.9241090       -0.7007020
O       -1.7741090       -0.8607210        0.4526810
C       -2.6675080       -1.2190480       -0.5918070
H       -3.6506090       -0.8656710       -0.2806610
H       -2.3685570       -0.7347000       -1.5255620
H       -2.6797360       -2.3007860       -0.7420320
",-15693.546280212895,-15710.917064516285,-15695.38170344316,-15695.55846839083,-15683.837182732454,-2916.0441840338904,-15710.961089143477,-15696.177403254169
18,"26
0 1 0.041317 
C        1.0297470        0.8861270       -1.2376560
C        2.2388780        0.3316500       -1.0797480
C        0.2858280        1.2852280       -0.0485220
H        0.5167460        0.9233960       -2.1943200
C        2.7828650        0.1141790        0.2908730
H        2.7620880       -0.0901900       -1.9324220
C        0.4196100       -0.4620370        1.0980670
C        1.8668520       -0.9014220        1.0857700
H        2.8008370        1.0507760        0.8613310
H        3.8072670       -0.2641950        0.2633800
H        2.2608980       -0.9820920        2.1031260
H        1.9520360       -1.8786150        0.6030660
H        0.8159330        1.9004550        0.6858920
H       -0.0087090       -0.1803550        2.0580610
O       -0.9603010        1.7709220       -0.3459320
C       -1.6738680        2.2323970        0.7867280
H       -2.6237710        2.6285310        0.4267390
H       -1.8577830        1.4027710        1.4762160
H       -1.1155790        3.0281480        1.2976170
C       -0.4852700       -1.2122850        0.2233870
O       -0.1495280       -1.9259410       -0.6976780
O       -1.7754130       -0.8638600        0.4528990
C       -2.6698300       -1.2209980       -0.5920050
H       -3.6523790       -0.8670370       -0.2805860
H       -2.3687870       -0.7347400       -1.5239300
H       -2.6820960       -2.3025010       -0.7428040
",-15693.674320847658,-15711.159961697886,-15695.553931401126,-15695.680478611124,-15684.026092797245,-2916.0172503473764,-15711.18967123064,-15696.458608559384
19,"26
0 1 0.031991 
C        1.0344850        0.8811370       -1.2317940
C        2.2422870        0.3301090       -1.0832860
C        0.2912450        1.2450780       -0.0160090
H        0.5235110        0.9567610       -2.1871730
C        2.7844380        0.1067060        0.2928350
H        2.7826960       -0.0610270       -1.9397360
C        0.4145170       -0.4060500        1.0623580
C        1.8623660       -0.8834070        1.0769500
H        2.8142870        1.0488660        0.8547890
H        3.8063550       -0.2784050        0.2647360
H        2.2347520       -0.9717540        2.1018810
H        1.9282600       -1.8655540        0.6011470
H        0.8265840        1.9048690        0.6791290
H       -0.0133120       -0.1567860        2.0331270
O       -0.9544590        1.7539700       -0.3349110
C       -1.6731340        2.2298650        0.7864270
H       -2.6180450        2.6299900        0.4167830
H       -1.8712710        1.4105550        1.4848750
H       -1.1143580        3.0266070        1.2963270
C       -0.4896950       -1.2052990        0.2159230
O       -0.1513400       -1.9285330       -0.6940800
O       -1.7773580       -0.8672000        0.4527140
C       -2.6729990       -1.2233180       -0.5922360
H       -3.6549010       -0.8686900       -0.2803070
H       -2.3700590       -0.7350370       -1.5223500
H       -2.6853770       -2.3045710       -0.7436480
",-15693.827711485448,-15711.409839487374,-15696.315919976101,-15696.542774732108,-15684.210985353817,-2916.0866006164333,-15711.424533735713,-15696.748754213611
